provider,query_id,first_result_rows,first_valid_rows,first_unknown_rows,first_empty_result,first_rank1_returned,first_rank1_unknown,first_support_rank,first_support_at_1,first_support_at_1_upper,first_mrr,first_mrr_upper,first_support_any,first_support_any_upper,pooled_rows,pooled_invalid_rows,pooled_gold,pooled_contra,retained_rows,retained_gold,retained_contra,pooled_any_contra,pooled_any_contra_upper,retained_any_contra,first_query_matches_all_providers
tavily,sealhard_eaa4ac25b7c8,9,7,2,0,1,1,,0,1,0.0,1.0,0,1,24,3,0,1,13,0,1,1,1,1,1
tavily,sealhard_efdabbe9b72d,10,9,1,0,1,1,,0,1,0.0,1.0,0,1,24,0,0,0,21,0,0,0,0,0,0
tavily,sealhard_efefd0c39dc3,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,19,0,0,0,19,0,0,0,0,0,1
tavily,sealhard_f10df60e2683,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,34,0,0,0,33,0,0,0,0,0,1
tavily,sealhard_f39b83a91b3d,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,30,0,0,0,24,0,0,0,0,0,1
tavily,sealhard_f3d0240d194b,9,9,0,0,1,0,,0,0,0.0,0.0,0,0,28,0,0,0,21,0,0,0,0,0,0
tavily,sealhard_f55654234b08,10,7,3,0,1,1,,0,1,0.0,1.0,0,1,34,4,0,0,29,0,0,0,1,0,1
tavily,sealhard_fae643a27cce,9,9,0,0,1,0,,0,0,0.0,0.0,0,0,25,0,0,0,20,0,0,0,0,0,1
tavily,sealhard_fb76b1d418d2,9,9,0,0,1,0,,0,0,0.0,0.0,0,0,28,0,0,0,23,0,0,0,0,0,0
tavily,sealhard_fb9cb8c1d039,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,9,0,0,0,9,0,0,0,0,0,1
firecrawl,sealhard_0117c1361b85,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,27,0,0,0,22,0,0,0,0,0,1
firecrawl,sealhard_0611df120e9b,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,39,0,0,1,33,0,1,1,1,1,1
firecrawl,sealhard_06488d667987,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,29,0,0,0,20,0,0,0,0,0,1
firecrawl,sealhard_06b1ff93f9e7,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,19,0,0,0,19,0,0,0,0,0,1
firecrawl,sealhard_0d25d5916602,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,9,0,0,0,9,0,0,0,0,0,0
firecrawl,sealhard_0fc3e12e6df9,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,28,0,0,0,27,0,0,0,0,0,1
firecrawl,sealhard_13f3dda94ad1,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,9,0,0,0,9,0,0,0,0,0,1
firecrawl,sealhard_154703c26212,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,10,0,0,4,10,0,4,1,1,1,1
firecrawl,sealhard_17561ba00ed9,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,30,0,0,12,25,0,10,1,1,1,1
firecrawl,sealhard_1768d0c92783,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,30,0,6,0,24,5,0,0,0,0,1
firecrawl,sealhard_1b9de8dee6b2,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,9,0,0,1,9,0,1,1,1,1,1
firecrawl,sealhard_21420e375cbb,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,19,0,0,0,18,0,0,0,0,0,0
firecrawl,sealhard_26f0dfb5b0e5,10,10,0,0,1,0,2,0,0,0.5,0.5,1,1,27,0,1,1,23,1,1,1,1,1,0
firecrawl,sealhard_2a710db3a65d,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,8,0,0,0,8,0,0,0,0,0,1
firecrawl,sealhard_2ccdb7c85090,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,10,0,0,8,10,0,8,1,1,1,1
firecrawl,sealhard_370de35828d1,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,9,0,0,0,9,0,0,0,0,0,0
firecrawl,sealhard_3bdf0b4d6146,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,9,0,0,0,9,0,0,0,0,0,1
firecrawl,sealhard_3c3bc246c0d6,10,9,1,0,1,0,2,0,0,0.5,0.5,1,1,8,1,0,0,8,0,0,0,1,0,1
firecrawl,sealhard_3fdf524a2ea9,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,29,0,0,0,15,0,0,0,0,0,1
firecrawl,sealhard_41eb61aaf82d,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,10,0,0,0,10,0,0,0,0,0,1
firecrawl,sealhard_457b38855fa4,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,30,0,1,4,26,1,3,1,1,1,1
firecrawl,sealhard_468bd5efbfe8,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,30,0,2,1,28,2,1,1,1,1,1
firecrawl,sealhard_470fed8377ce,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,29,0,0,1,28,0,1,1,1,1,1
firecrawl,sealhard_4981ad02a6fc,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,9,0,0,0,9,0,0,0,0,0,1
firecrawl,sealhard_4a3db339e0a0,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,27,0,0,0,26,0,0,0,0,0,0
firecrawl,sealhard_4adca023da1a,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,66,1,0,3,49,0,3,1,1,1,0
firecrawl,sealhard_4f128462c995,10,10,0,0,1,0,1,1,1,1.0,1.0,1,1,10,0,9,0,10,9,0,0,0,0,1
firecrawl,sealhard_4f507e42c1be,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,21,0,0,0,19,0,0,0,0,0,1
firecrawl,sealhard_4f8215a4eaab,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,9,0,0,2,9,0,2,1,1,1,1
firecrawl,sealhard_509fa8d560e8,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,13,0,0,0,13,0,0,0,0,0,1
firecrawl,sealhard_52c34c9decc3,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,9,0,0,0,9,0,0,0,0,0,0
firecrawl,sealhard_5668b93dd088,10,9,1,0,1,0,,0,0,0.0,0.1111111111111111,0,1,14,1,1,2,14,1,2,1,1,1,1
firecrawl,sealhard_5685bd22ca4d,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,9,0,0,0,9,0,0,0,0,0,0
firecrawl,sealhard_57a597e92ac4,10,9,1,0,1,0,,0,0,0.0,0.5,0,1,9,0,0,0,9,0,0,0,0,0,1
firecrawl,sealhard_5a4a585bfbac,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,75,0,0,0,64,0,0,0,0,0,0
firecrawl,sealhard_5e17b3c38fb1,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,9,0,0,1,9,0,1,1,1,1,1
firecrawl,sealhard_61f85b369b4c,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,29,0,0,0,29,0,0,0,0,0,0
firecrawl,sealhard_644ca5e960ff,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,9,0,0,0,9,0,0,0,0,0,1
firecrawl,sealhard_6747b5584761,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,19,0,0,0,16,0,0,0,0,0,0
firecrawl,sealhard_6c0f077e50c1,10,10,0,0,1,0,1,1,1,1.0,1.0,1,1,10,0,1,0,10,1,0,0,0,0,1
firecrawl,sealhard_6c8b9a75ad1b,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,18,0,0,0,18,0,0,0,0,0,1
firecrawl,sealhard_6d8469c83a5a,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,38,0,0,0,38,0,0,0,0,0,1
firecrawl,sealhard_6f8f541710fe,10,8,2,0,1,1,,0,1,0.0,1.0,0,1,8,2,0,0,8,0,0,0,1,0,1
firecrawl,sealhard_77156a372cf9,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,9,0,0,0,9,0,0,0,0,0,0
firecrawl,sealhard_79977a575736,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,29,0,0,0,17,0,0,0,0,0,1
firecrawl,sealhard_7a73644c826b,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,9,0,0,1,9,0,1,1,1,1,1
firecrawl,sealhard_7b44552616b7,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,30,0,1,1,27,1,1,1,1,1,1
firecrawl,sealhard_7e06b26c28c5,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,37,0,0,0,37,0,0,0,0,0,1
firecrawl,sealhard_7e9246c1c2fc,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,18,0,0,0,15,0,0,0,0,0,1
firecrawl,sealhard_7fdc626d3d31,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,9,0,0,0,9,0,0,0,0,0,1
firecrawl,sealhard_83027d490eb7,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,8,0,0,0,8,0,0,0,0,0,0
firecrawl,sealhard_84253b2d7450,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,9,0,0,1,9,0,1,1,1,1,1
firecrawl,sealhard_848d0e19b216,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,9,0,0,0,9,0,0,0,0,0,0
firecrawl,sealhard_85fcb317a706,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,29,0,0,0,27,0,0,0,0,0,1
firecrawl,sealhard_862314ca8353,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,27,0,0,0,27,0,0,0,0,0,0
firecrawl,sealhard_877552ec67c0,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,9,0,0,0,9,0,0,0,0,0,1
firecrawl,sealhard_88907b1ee49b,0,0,0,1,0,0,,0,0,0.0,0.0,0,0,24,0,0,0,24,0,0,0,0,0,1
firecrawl,sealhard_8979d1d1c501,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,18,0,0,0,15,0,0,0,0,0,1
firecrawl,sealhard_8999039cdd56,10,9,1,0,1,1,3,0,1,0.3333333333333333,1.0,1,1,9,0,1,0,9,1,0,0,0,0,1
firecrawl,sealhard_8b97a64daaf1,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,9,0,0,0,9,0,0,0,0,0,0
firecrawl,sealhard_904abf430fa7,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,45,0,0,0,38,0,0,0,0,0,1
firecrawl,sealhard_92742491b67e,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,9,0,0,0,9,0,0,0,0,0,1
firecrawl,sealhard_93641f5fc924,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,26,0,0,0,24,0,0,0,0,0,1
firecrawl,sealhard_98cbbbef96fd,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,17,0,0,4,17,0,4,1,1,1,1
firecrawl,sealhard_9c2333ca67b4,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,9,0,0,3,9,0,3,1,1,1,1
firecrawl,sealhard_9d5b346b1ad2,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,9,0,0,0,9,0,0,0,0,0,1
firecrawl,sealhard_a2c20fcc3ff1,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,10,0,0,1,10,0,1,1,1,1,1
firecrawl,sealhard_ac9846d309e4,10,10,0,0,1,0,8,0,0,0.125,0.125,1,1,49,0,1,0,41,1,0,0,0,0,0
firecrawl,sealhard_b01f894cc6d2,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,9,0,0,0,9,0,0,0,0,0,1
firecrawl,sealhard_b5744e399b13,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,9,0,0,2,9,0,2,1,1,1,1
firecrawl,sealhard_b6c30f169f85,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,28,0,0,0,25,0,0,0,0,0,1
firecrawl,sealhard_b95d990d560f,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,18,0,0,0,18,0,0,0,0,0,1
firecrawl,sealhard_b9d6a3303845,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,28,0,0,1,24,0,1,1,1,1,1
firecrawl,sealhard_c02ac99c3053,10,9,1,0,1,0,,0,0,0.0,0.1,0,1,35,1,0,0,33,0,0,0,1,0,0
firecrawl,sealhard_c42af40fb77f,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,9,0,0,0,9,0,0,0,0,0,1
firecrawl,sealhard_c71d4bbb72a2,10,9,1,0,1,0,,0,0,0.0,0.14285714285714285,0,1,18,1,0,0,17,0,0,0,1,0,1
firecrawl,sealhard_c8cb1e820500,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,10,0,0,4,10,0,4,1,1,1,1
firecrawl,sealhard_caa717c1ae32,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,9,0,0,1,9,0,1,1,1,1,1
firecrawl,sealhard_cbc32eddafe8,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,58,1,0,0,49,0,0,0,1,0,1
firecrawl,sealhard_ce095a0ff9b3,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,29,0,0,0,21,0,0,0,0,0,0
firecrawl,sealhard_d0e475bbc1fa,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,10,0,0,1,10,0,1,1,1,1,1
firecrawl,sealhard_d246c498c8d0,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,31,0,0,0,26,0,0,0,0,0,1
firecrawl,sealhard_d3cfe61ba140,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,28,0,0,0,27,0,0,0,0,0,1
firecrawl,sealhard_d6f7180757d7,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,29,0,0,0,15,0,0,0,0,0,0
firecrawl,sealhard_d84ed7de52a6,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,9,0,0,1,9,0,1,1,1,1,1
firecrawl,sealhard_d86116d626f4,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,29,0,0,0,24,0,0,0,0,0,0
firecrawl,sealhard_da3317f9956a,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,25,0,0,0,24,0,0,0,0,0,0
firecrawl,sealhard_dfbfbf0c656e,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,19,0,0,0,16,0,0,0,0,0,1
firecrawl,sealhard_e0bad036abba,10,9,1,0,1,1,,0,1,0.0,1.0,0,1,9,0,0,0,9,0,0,0,0,0,0
firecrawl,sealhard_e5ddddb8907e,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,10,0,0,0,10,0,0,0,0,0,1
firecrawl,sealhard_eaa4ac25b7c8,10,10,0,0,1,0,4,0,0,0.25,0.25,1,1,30,0,1,4,17,1,3,1,1,1,1
firecrawl,sealhard_efdabbe9b72d,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,24,0,0,0,21,0,0,0,0,0,0
firecrawl,sealhard_efefd0c39dc3,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,19,0,0,1,17,0,1,1,1,1,1
firecrawl,sealhard_f10df60e2683,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,58,2,0,0,56,0,0,0,1,0,1
firecrawl,sealhard_f39b83a91b3d,10,8,2,0,1,0,,0,0,0.0,0.16666666666666666,0,1,18,3,0,0,17,0,0,0,1,0,1
firecrawl,sealhard_f3d0240d194b,10,9,1,0,1,0,,0,0,0.0,0.14285714285714285,0,1,28,1,0,0,20,0,0,0,1,0,0
firecrawl,sealhard_f55654234b08,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,18,0,0,0,18,0,0,0,0,0,1
firecrawl,sealhard_fae643a27cce,10,10,0,0,1,0,6,0,0,0.16666666666666666,0.16666666666666666,1,1,59,0,1,3,45,1,2,1,1,1,1
firecrawl,sealhard_fb76b1d418d2,10,10,0,0,1,0,,0,0,0.0,0.0,0,0,29,0,0,0,27,0,0,0,0,0,0
firecrawl,sealhard_fb9cb8c1d039,10,10,0,0,1,0,5,0,0,0.2,0.2,1,1,9,0,1,0,9,1,0,0,0,0,1
